Chr	Gene_ID	Product description	Gene Identification	MIS	MFS	# of insertions in CDS	# of nor malized reads (raw)	Note*	# of TTAA in CDS	TTAA density in CDS	transcript length	geneStart	endStart	gene strand	Ortholog count	Paralog count	NonSyn/Syn SNP Ratio	GO Processes	GO Functions	GO Components		
chr14	PF3D7_1436400	"conserved Plasmodium protein, unknown function"	Mutable in CDS	0.926	-2.64	1	47.71		54	14.23	3795	1484166	1488129	+	18	0	3.73	N/A	N/A	N/A		
chr14	PF3D7_1436500	"GTP-binding protein, putative"	Non - Mutable in CDS	0.143	-3.217	0	14.1		24	18.52	1296	1488706	1490001	+	16	0	1.17	N/A	N/A	N/A		
chr14	PF3D7_1436600	cGMP-dependent protein kinase	Non - Mutable in CDS	0.179	-2.721	0	13.54		31	12.1	2562	1490654	1494214	-	18	0	1.78	"entry into host cell, protein phosphorylation"	cGMP-dependent protein kinase activity	"endoplasmic reticulum, extrinsic component of membrane"		
chr14	PF3D7_1436700	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.132	-3.046	0	17.7		46	17.73	2595	1495799	1498533	-	34	1	3.45	N/A	N/A	N/A		
chr14	PF3D7_1436800	ATP-dependent Clp protease proteolytic subunit	Non - Mutable in CDS	0.173	-2.556	0	6.65		9	12.24	735	1498758	1499492	-	34	1	1.5	N/A	N/A	apicoplast		
chr14	PF3D7_1436900	"histidine triad protein, putative"	Mutable in CDS	0.53	-2.972	1	4.67		11	18.24	603	1500128	1500965	-	18	0	1.33	N/A	zinc ion binding	N/A		
chr14	PF3D7_1437000	"N-acetyltransferase, putative"	Non - Mutable in CDS	0.12	-3.046	0	9.83		26	15.9	1635	1502648	1504861	+	17	0	2.13	N/A	N/A	N/A		
chr14	PF3D7_1437100	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.203	-3.156	0	7.14	tentative	10	20.96	477	1505906	1506619	+	18	0	1.5	N/A	N/A	apicoplast		
chr14	PF3D7_1437200	"ribonucleoside-diphosphate reductase large subunit, putative"	Non - Mutable in CDS	0.14	-2.765	0	15.98		34	13.36	2544	1507359	1510089	-	18	0	0	"DNA replication, deoxyribonucleotide biosynthetic process"	N/A	ribonucleoside-diphosphate reductase complex		
chr14	PF3D7_1437300	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.128	-2.746	0	2.71		9	14.08	639	1513938	1514961	-	18	0	2	N/A	N/A	N/A		
chr14	PF3D7_1437400	"pantothenate kinase, putative"	Mutable in CDS	0.92	-2.929	1	23.76		33	14.34	2301	1517070	1519370	+	18	0	4.25	N/A	N/A	N/A		
chr14	PF3D7_1437500	"conserved Plasmodium membrane protein, unknown function"	Non - Mutable in CDS	1	-1.662	0	0.93	tentative	4	4.9	816	1521105	1521920	+	18	0	2.25	N/A	N/A	N/A		
chr14	PF3D7_1437600	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.138	-3.174	0	22.04		32	18.17	1761	1523286	1525046	+	18	0	6.6	N/A	N/A	N/A		
chr14	PF3D7_1437700	"succinyl-CoA ligase, putative"	Mutable in CDS	1	-2.269	5	60.77		44	15.06	2922	1525564	1528485	-	18	0	2.36	"glycolytic process, tricarboxylic acid cycle"	acetate-CoA ligase activity	N/A		
chr14	PF3D7_1437800	"trafficking protein particle complex subunit 5, putative"	Non - Mutable in CDS	0.12	-2.926	0	2.61		9	16.22	555	1530276	1530830	-	18	0	0	N/A	N/A	host cell plasma membrane		
chr14	PF3D7_1437900	"HSP40, subfamily A, putative"	Non - Mutable in CDS	0.814	-2.425	0	4.16		10	7.84	1275	1533329	1534947	+	18	0	0.57	N/A	N/A	N/A		
chr14	PF3D7_1438000	"eukaryotic translation initiation factor eIF2A, putative"	Mutable in CDS	1	-2.687	3	16.32		34	17.12	1986	1536484	1538469	-	20	0	1.13	N/A	structural constituent of ribosome	N/A		
chr14	PF3D7_1438100	secretory complex protein 62	Non - Mutable in CDS	0.169	-2.953	0	5.8		14	12.35	1134	1541359	1542872	-	18	0	0.83	protein transport by the Sec complex	N/A	Sec61 translocon complex		
chr14	PF3D7_1438400	metacaspase-like protein	Mutable in CDS	1	-2.31	3	115.53		84	13.85	6063	1548918	1556721	+	19	0	2.85	N/A	N/A	N/A		
chr14	PF3D7_1438500	"cleavage and polyadenylation specificity factor subunit 3, putative"	Non - Mutable in CDS	0.121	-3.09	0	11.9		43	16.34	2631	1557527	1560157	-	20	0	4.71	"mRNA cleavage, mRNA polyadenylation"	N/A	mRNA cleavage and polyadenylation specificity factor complex		
chr14	PF3D7_1438600	"conserved protein, unknown function"	Non - Mutable in CDS	0.125	-3.008	0	7.11		12	14.39	834	1562232	1563065	+	18	0	7	N/A	N/A	N/A		
chr14	PF3D7_1438700	DNA primase small subunit	Non - Mutable in CDS	0.124	-3.197	0	8.99		23	16.92	1359	1564575	1567839	+	19	0	0.38	"DNA replication, synthesis of RNA primer"	DNA primase activity	alpha DNA polymerase:primase complex		
chr14	PF3D7_1438800	"conserved Plasmodium protein, unknown function"	Mutable in CDS	0.999	-2.432	1	9.21		22	10.48	2100	1571039	1574161	+	18	0	1.17	N/A	N/A	apicoplast		
chr14	PF3D7_1438900	thioredoxin peroxidase 1	Mutable in CDS	0.848	-2.296	1	9.25		9	15.31	588	1575984	1576571	+	52	2	0	"DNA protection, response to heat, response to oxidative stress"	"protein dimerization activity, thioredoxin peroxidase activity"	cytosol		
chr14	PF3D7_1439000	copper transporter	Non - Mutable in CDS	0.127	-2.749	0	2.71		10	14.12	708	1578193	1579175	+	18	0	7	N/A	N/A	"host cell plasma membrane, plasma membrane"		
chr14	PF3D7_1439100	"DEAD/DEAH box helicase, putative"	Mutable in CDS	1	-1.588	10	399.7		132	17.79	7419	1580750	1588857	+	37	1	2.96	N/A	ATP-dependent RNA helicase activity	N/A		
chr14	PF3D7_1439200	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	-2.218	10	145.24		78	21.19	3681	1588952	1593131	+	17	0	2.5	N/A	N/A	N/A		
chr14	PF3D7_1439300	"Sad1/UNC domain-containing protein, putative"	Non - Mutable in CDS	0.15	-2.883	0	33.3		70	12.93	5412	1594505	1600061	+	19	0	4.37	N/A	N/A	N/A		
chr14	PF3D7_1439400	"cytochrome b-c1 complex subunit Rieske, putative"	Non - Mutable in CDS	0.876	-2.584	0	1.13		8	7.49	1068	1600933	1602000	-	18	0	0.8	"mitochondrial electron transport, ubiquinol to cytochrome c"	N/A	mitochondrial respiratory chain complex III		
chr14	PF3D7_1439500	"CCAAT-binding transcription factor, putative"	Mutable in CDS	1	0.492	9	976.43		35	10.85	3225	1608519	1611743	+	19	0	5.9	N/A	N/A	CCAAT-binding factor complex		
chr14	PF3D7_1439600	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.122	-2.71	0	0.98		8	14.73	543	1612521	1613063	-	18	0	3	N/A	N/A	mitochondrion		
chr14	PF3D7_1439700	"leucine carboxyl methyltransferase, putative"	Non - Mutable in CDS	0.121	-3.182	0	10.12		16	16.26	984	1613853	1615542	-	18	0	1.67	N/A	N/A	N/A		
chr14	PF3D7_1439800	"vesicle-associated membrane protein, putative"	Non - Mutable in CDS	0.134	-3.157	0	3.81		13	17.91	726	1618823	1619798	+	18	0	0.5	"membrane fusion, vesicle-mediated transport"	N/A	N/A		
chr14	PF3D7_1439900	triosephosphate isomerase	Non - Mutable in CDS	0.122	-3.063	0	4.82		11	14.73	747	1622580	1623616	+	18	0	2	"fatty acid biosynthetic process, gluconeogenesis, glycolytic process, pentose-phosphate shunt"	triose-phosphate isomerase activity	N/A		
chr14	PF3D7_1440000	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	-1.494	5	227.16		93	14.06	6615	1624191	1631371	-	20	0	4.59	N/A	N/A	N/A		
chr14	PF3D7_1440100	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.341	-2.607	0	11.26		31	10.18	3045	1633215	1636259	-	18	0	3.06	N/A	N/A	N/A		
chr14	PF3D7_1440200	"stromal-processing peptidase, putative"	Non - Mutable in CDS	0.12	-2.995	0	37.18		71	15.16	4683	1639481	1647171	+	13	0	3.05	proteolysis	metalloendopeptidase activity	apicoplast		
chr14	PF3D7_1440300	porphobilinogen synthase	Non - Mutable in CDS	0.141	-2.951	0	7.63		18	13.27	1356	1639481	1641764	+	17	0	2	heme biosynthetic process	porphobilinogen synthase activity	apicoplast		
chr14	PF3D7_1440400	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.141	-2.967	0	24.57		51	13.27	3843	1647677	1651698	-	18	0	3.25	N/A	N/A	N/A		
chr14	PF3D7_1440500	"allantoicase, putative"	Mutable in CDS	1	-0.154	11	505.63		28	16.85	1662	1654051	1655712	+	18	0	2.22	N/A	N/A	N/A		
chr14	PF3D7_1440600	"conserved Plasmodium protein, unknown function"	Mutable in CDS	0.918	-2.344	1	15.17		20	14.37	1392	1656438	1659744	+	18	0	0.8	N/A	N/A	N/A		
chr14	PF3D7_1440700	adaptor complexes medium subunit family	Non - Mutable in CDS	0.123	-3.099	0	21.97		37	16.8	2202	1660099	1662300	-	18	0	1.88	N/A	N/A	N/A		
chr14	PF3D7_1440800	"major facilitator superfamily domain-containing protein, putative"	Mutable in CDS	0.964	-1.891	2	51.32		35	20.01	1749	1665467	1667547	+	18	0	3.25	N/A	N/A	N/A		
chr14	PF3D7_1440900	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.127	-2.969	0	3.64		10	14.18	705	1668595	1669967	+	18	0	3.33	N/A	N/A	N/A		
chr14	PF3D7_1441000	"cytoplasmic tRNA 2-thiolation protein 2, putative"	Mutable in CDS	0.826	-2.936	1	23.12		26	15.56	1671	1669984	1671654	-	18	0	5.75	tRNA wobble position uridine thiolation	N/A	N/A		
chr14	PF3D7_1441100	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	1	-0.602	0	0.8	tentative	1	1.46	684	1673390	1674073	-	14	0	1.5	N/A	N/A	N/A		
chr14	PF3D7_1441200	"60S ribosomal protein L1, putative"	Non - Mutable in CDS	0.37	-3.314	0	1.78		16	24.46	654	1678666	1679490	+	18	0	0.17	translation	structural constituent of ribosome	cytosolic large ribosomal subunit		
chr14	PF3D7_1441300	"serine/threonine protein kinase, putative"	Mutable in CDS	1	0.165	5	893.59		73	10.82	6744	1681795	1689161	+	19	0	3.61	protein phosphorylation	protein serine/threonine kinase activity	N/A		
chr14	PF3D7_1441400	"FACT complex subunit SSRP1, putative"	Non - Mutable in CDS	0.12	-3.034	0	8		23	15.12	1521	1690997	1692517	+	19	0	1.33	N/A	single-stranded DNA binding	N/A		
chr14	PF3D7_1441500	"conserved Plasmodium protein, unknown function"	Mutable in CDS	0.973	-2.662	1	10.92		19	13.03	1458	1693141	1695196	-	18	0	2.29	N/A	N/A	N/A		
chr14	PF3D7_1441600	"acid cluster protein 33 homologue, putative"	Mutable in CDS	1	-0.496	2	121.18		20	11.7	1710	1696308	1698017	-	18	0	0.83	N/A	N/A	N/A		
chr14	PF3D7_1441700	"mitochondrial inner membrane protease ATP23, putative"	Non - Mutable in CDS	0.233	-3.322	0	9.43		30	21.79	1377	1700678	1702054	+	18	0	1.2	"mitochondrial protein processing, mitochondrial proton-transporting ATP synthase complex assembly"	N/A	mitochondrial intermembrane space		
chr14	PF3D7_1441800	"vacuolar-sorting protein SNF7, putative"	Mutable in CDS	1	0.401	3	69.21		8	11.59	690	1702613	1703813	-	18	0	1.5	N/A	N/A	N/A		
chr14	PF3D7_1441900	"RNA polymerase II transcription factor B subunit 5, putative"	Non - Mutable in CDS	0.122	0	0	0	tentative	3	14.71	204	1704598	1704801	+	17	0	0.5	N/A	N/A	N/A		
chr14	PF3D7_1442000	"ADP-ribosylation factor, putative"	Non - Mutable in CDS	0.124	-2.82	0	5.18		8	14.49	552	1705130	1705787	-	18	0	0.2	protein ADP-ribosylation	GTPase activity	N/A		
chr14	PF3D7_1442100	"replication factor A protein 3, putative"	Non - Mutable in CDS	0.566	-3.267	0	1.04	tentative	9	27.27	330	1706524	1707516	-	18	0	1	N/A	N/A	N/A		
chr14	PF3D7_1442200	"GTP-binding protein, putative"	Mutable in CDS	0.998	-2.515	2	50.14		49	16.32	3003	1708532	1711534	-	36	1	2.69	N/A	N/A	N/A		
chr14	PF3D7_1442300	tRNA import protein tRIP	Mutable in CDS	1	0.417	2	405.16		17	14.06	1209	1712630	1714069	-	18	0	1.29	N/A	N/A	"cell surface, plasma membrane"		
chr14	PF3D7_1442400	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	-0.445	8	773.9		97	15.29	6342	1717175	1723516	+	18	0	2.44	N/A	N/A	N/A		
chr14	PF3D7_1442500	"geranylgeranyl transferase type-2 subunit alpha, putative"	Non - Mutable in CDS	0.12	-2.967	0	18.22		35	16.09	2175	1724406	1727417	-	18	0	2.5	protein geranylgeranylation	Rab geranylgeranyltransferase activity	Rab-protein geranylgeranyltransferase complex		
chr14	PF3D7_1442600	TRAP-like protein	Mutable in CDS	1	0.542	11	1352.51		94	8.84	10632	1730091	1740920	+	6	0	4.32	N/A	N/A	apicoplast		
chr14	PF3D7_1442700	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	-2.505	4	92.16		105	13.93	7536	1742117	1749794	+	19	0	5.48	N/A	N/A	N/A		
chr14	PF3D7_1442800	"conserved Plasmodium protein, unknown function"	Mutable in CDS	0.184	-2.961	1	34.79		29	23.99	1209	1750213	1751421	-	18	0	0.83	N/A	N/A	N/A		
chr14	PF3D7_1442900	"protein transport protein SEC7, putative"	Non - Mutable in CDS	0.12	-3.05	0	101.34		161	15.85	10155	1753514	1763668	+	18	0	2.65	N/A	N/A	N/A		
chr14	PF3D7_1443000	serine/threonine protein kinase	Mutable in CDS	1	-0.485	3	348.9		44	11.56	3807	1764320	1768126	-	18	0	4.31	protein phosphorylation	protein kinase activity	"cytoplasm, nucleus"		
chr14	PF3D7_1443100	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.12	-3.129	0	19.88		28	16.23	1725	1769630	1771354	-	18	0	2.89	N/A	N/A	N/A		
chr14	PF3D7_1443200	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.177	-3.321	0	17.42		36	20.1	1791	1773280	1775201	+	18	0	5	N/A	N/A	N/A		
chr14	PF3D7_1443300	"U6 snRNA-associated Sm-like protein LSm5, putative"	Non - Mutable in CDS	0.121	-3.185	0	3.38	tentative	5	16.34	306	1776014	1776666	+	17	0	2	RNA splicing	N/A	small nucleolar ribonucleoprotein complex		
chr14	PF3D7_1443400	WD repeat-containing protein	Non - Mutable in CDS	0.252	-2.75	0	12.64		27	10.98	2460	1776962	1779610	-	18	0	5	N/A	protein binding	cytosol		
chr14	PF3D7_1443500	"poly(A)-specific ribonuclease PARN, putative"	Non - Mutable in CDS	0.122	-3.034	0	15.54		38	14.68	2589	1780996	1783584	-	18	0	2.56	N/A	poly(A) RNA binding	N/A		
chr14	PF3D7_1443600	"gamma-tubulin complex component, putative"	Mutable in CDS	1	-2.099	4	108.44		84	14.74	5697	1784937	1790633	-	18	0	2.5	N/A	N/A	N/A		
chr14	PF3D7_1443700	"dephospho-CoA kinase, putative"	Non - Mutable in CDS	0.234	-3.436	0	9.83		18	21.82	825	1791915	1793008	-	18	0	0.4	coenzyme A biosynthetic process	dephospho-CoA kinase activity	apicoplast		
chr14	PF3D7_1443800	"pre-mRNA-splicing factor CWC24, putative"	Non - Mutable in CDS	0.122	-3.101	0	9.9		18	14.67	1227	1794712	1795938	-	18	0	1.43	"mRNA splicing, via spliceosome"	N/A	spliceosomal complex		
chr14	PF3D7_1443900	"heat shock protein 90, putative"	Non - Mutable in CDS	0.135	-3.033	0	29.42		50	17.96	2784	1797292	1800075	+	18	0	3.14	response to heat	"ATPase activity, coupled"	apicoplast		
chr14	PF3D7_1444000	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.395	-3.332	0	14.21		17	24.85	684	1800835	1801891	+	17	0	2	N/A	N/A	N/A		
chr14	PF3D7_1444100	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	-0.814	36	1708.89		303	13.97	21696	1801965	1825330	-	24	0	3.66	N/A	N/A	N/A		
chr14	PF3D7_1444200	calmodulin-like protein	Non - Mutable in CDS	1	-1.531	0	1.04	tentative	3	4.81	624	1826131	1827167	+	19	0	0.5	N/A	N/A	N/A		
chr14	PF3D7_1444300	"1-acyl-sn-glycerol-3-phosphate acyltransferase, putative"	Non - Mutable in CDS	0.22	-2.951	0	2.38		10	11.38	879	1828583	1829966	+	19	0	1.33	N/A	N/A	endoplasmic reticulum		
chr14	PF3D7_1444400	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.12	-3.034	0	15.28		24	15.87	1512	1831013	1832807	+	18	0	7.67	N/A	N/A	apicoplast		
chr14	PF3D7_1444500	eukaryotic initiation factor 2alpha kinase 1	Mutable in CDS	1	-1.267	9	262.42		67	14.33	4677	1833786	1838602	-	18	0	3	"posttranscriptional regulation of gene expression, protein phosphorylation, response to starvation"	"ATP binding, protein kinase activity"	N/A		
chr14	PF3D7_1444600	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.155	-3.088	0	7.85	tentative	7	19.13	366	1841033	1841596	+	11	0	7	N/A	N/A	N/A		
chr14	PF3D7_1444700	"shikimate dehydrogenase, putative"	Mutable in CDS	1	-1.486	1	8.07		4	7.13	561	1841964	1842910	+	17	0	2	N/A	N/A	N/A		
chr14	PF3D7_1444800	fructose-bisphosphate aldolase	Non - Mutable in CDS	0.268	-2.718	0	2.14		12	10.81	1110	1844045	1845621	-	18	0	0.75	"actin polymerization or depolymerization, glycolytic process"	"actin binding, fructose-bisphosphate aldolase activity"	cytoplasm		
chr14	PF3D7_1444900	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.429	-2.413	0	4.31		5	9.63	519	1848319	1848837	+	18	0	3.33	N/A	N/A	N/A		
chr14	PF3D7_1445000	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.171	-2.668	0	5.97		15	12.29	1221	1849176	1850396	-	18	0	3	N/A	N/A	apicoplast		
chr14	PF3D7_1445100	"histidine--tRNA ligase, putative"	Non - Mutable in CDS	0.131	-3.15	0	21.93		60	17.65	3399	1851660	1855058	-	38	1	2.29	histidyl-tRNA aminoacylation	histidine-tRNA ligase activity	N/A		
chr14	PF3D7_1445200	"ATP-dependent RNA helicase MAK5, putative"	Non - Mutable in CDS	0.126	-2.897	0	9.42		34	14.22	2391	1856704	1859312	+	19	0	3.16	ribosomal large subunit biogenesis	helicase activity	N/A		
chr14	PF3D7_1445300	"mitochondrial ribosomal protein S29 precursor, putative"	Non - Mutable in CDS	0.125	-2.888	0	14.37		26	14.33	1815	1860152	1862099	+	19	0	2.38	N/A	N/A	N/A		
chr14	PF3D7_1445400	protein serine/threonine kinase-1	Non - Mutable in CDS	0.223	-2.602	0	18.49		30	11.34	2646	1862779	1865424	-	18	0	1.43	"protein phosphorylation, regulation of cell differentiation"	protein serine/threonine/tyrosine kinase activity	nucleus		
chr14	PF3D7_1445500	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.369	-3.298	0	2.71	tentative	11	24.44	450	1867620	1868069	+	17	0	0	N/A	N/A	N/A		
chr14	PF3D7_1445600	"RNA-binding protein, putative"	Mutable in CDS	0.962	0.487	1	261.72		24	13.4	1791	1871782	1874385	+	18	0	2.85	N/A	N/A	nucleus		
chr14	PF3D7_1445700	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.222	-2.639	0	6.49		12	11.36	1056	1875425	1876878	-	18	0	1	N/A	N/A	Maurer's cleft		
chr14	PF3D7_1445800	"conserved Plasmodium membrane protein, unknown function"	Mutable in CDS	0.999	-2.887	2	28.23		54	14.9	3624	1878662	1882581	-	18	0	2.86	N/A	N/A	apicoplast		
chr14	PF3D7_1445900	"ATP-dependent RNA helicase DDX5, putative"	Non - Mutable in CDS	0.276	-3.019	0	3.67		17	10.73	1584	1885447	1888327	+	36	1	0.63	N/A	"helicase activity, nucleic acid binding"	N/A		
chr14	PF3D7_1446100	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	-1.042	3	96.56		19	9.44	2013	1889982	1892112	-	18	0	4	N/A	N/A	N/A		
chr14	PF3D7_1446200	M17 leucyl aminopeptidase	Non - Mutable in CDS	0.122	-3.038	0	15.02		30	16.5	1818	1893204	1895021	-	21	0	3.4	proteolysis	metalloexopeptidase activity	cytosol		
chr14	PF3D7_1446300	"conserved Plasmodium membrane protein, unknown function"	Mutable in CDS	1	-0.587	6	364.54		46	12.86	3576	1898355	1901930	+	19	0	3.1	N/A	N/A	apicoplast		
chr14	PF3D7_1446400	pyruvate dehydrogenase E1 component subunit beta	Mutable in CDS	0.915	-2.679	1	5.94		18	14.42	1248	1902920	1904167	-	18	0	2	"acetyl-CoA biosynthetic process from pyruvate, fatty acid biosynthetic process, tricarboxylic acid cycle"	pyruvate dehydrogenase (acetyl-transferring) activity	"apicoplast, membrane, pyruvate dehydrogenase complex"		
chr14	PF3D7_1446500	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.12	-2.99	0	68.85		137	15.21	9006	1907201	1916206	+	18	0	3.21	N/A	N/A	N/A		
chr14	PF3D7_1446600	centrin-2	Non - Mutable in CDS	0.804	-2.081	0	1.97		4	7.89	507	1917236	1918014	-	18	0	0.4	mitotic nuclear division	calcium ion binding	centrosome		
chr14	PF3D7_1446700	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.49	-2.537	0	2.21		10	9.31	1074	1919587	1921649	-	19	0	0.8	N/A	N/A	N/A		
chr14	PF3D7_1446800	heme detoxification protein	Non - Mutable in CDS	0.271	-3.645	0	3.55		14	22.65	618	1922963	1923786	+	17	0	1.17	heme catabolic process	"heme binding, heme oxygenase (decyclizing) activity, lyase activity, protein binding"	"food vacuole, host cell cytoplasm"		
chr14	PF3D7_1446900	"glutaminyl-peptide cyclotransferase, putative"	Mutable in CDS	1	-2.205	2	12.05		14	12.15	1152	1924429	1926654	-	18	0	4.5	N/A	N/A	apicoplast		
chr14	PF3D7_1447000	40S ribosomal protein S5	Non - Mutable in CDS	0.659	-2.107	0	1.04		7	8.55	819	1929935	1931383	+	18	0	1.25	translation	structural constituent of ribosome	cytosolic small ribosomal subunit		
chr14	PF3D7_1447100	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	-1.075	2	4.71		3	6.9	435	1932425	1933204	-	18	0	4.33	N/A	N/A	N/A		
chr14	PF3D7_1447200	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.131	-2.993	0	11.1		22	13.84	1590	1933989	1935779	+	18	0	5	N/A	N/A	N/A		
chr14	PF3D7_1447300	"mitochondrial ribosomal protein S14 precursor, putative"	Non - Mutable in CDS	0.194	0	0	0	tentative	4	11.8	339	1936892	1937378	+	18	0	2	translation	structural constituent of ribosome	mitochondrial small ribosomal subunit		
chr14	PF3D7_1447400	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.119	-3.657	0	1.22		12	15.75	762	1937710	1939121	-	17	0	0.33	N/A	N/A	N/A		
chr14	PF3D7_1447500	"inner membrane complex protein, putative"	Non - Mutable in CDS	0.947	0	0	0	tentative	3	6.9	435	1941060	1941690	+	19	0	1.25	N/A	N/A	inner membrane complex		
chr14	PF3D7_1447600	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.256	-2.412	0	1.96	tentative	4	10.93	366	1942155	1942967	-	17	0	1.17	N/A	N/A	N/A		
chr14	PF3D7_1447700	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.122	-3.051	0	5.47		17	16.52	1029	1943940	1944968	-	18	0	2	N/A	N/A	N/A		
chr14	PF3D7_1447800	"calponin homology domain-containing protein, putative"	Mutable in CDS	1	-1.679	4	180.8		77	12.92	5961	1947250	1953210	+	17	0	5.16	N/A	N/A	N/A		
chr14	PF3D7_1447900	multidrug resistance protein 2	Non - Mutable in CDS	0.129	-2.868	0	27.79		43	13.98	3075	1954605	1957679	-	18	0	2.6	drug transmembrane transport	"ATPase activity, coupled to transmembrane movement of substances, metal ion binding, metal ion transmembrane transporter activity"	vacuole		
chr14	PF3D7_1448000	"U3 small nucleolar RNA-associated protein 12, putative"	Non - Mutable in CDS	0.14	-2.847	0	24.73		51	13.32	3828	1960037	1963966	-	18	0	4.71	N/A	N/A	"nucleolus, small-subunit processome"		
chr14	PF3D7_1448100	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.246	-3.415	0	9.45		13	22.11	588	1965179	1965766	+	11	0	1.2	N/A	N/A	N/A		
chr14	PF3D7_1448200	"condensin-2 complex subunit G2, putative"	Mutable in CDS	1	-0.452	4	437.79		53	14.64	3621	1966249	1971622	-	18	0	2.67	N/A	N/A	N/A		
chr14	PF3D7_1448300	"conserved Plasmodium protein, unknown function"	Mutable in CDS	0.997	-0.436	1	245.6		55	11.17	4926	1972502	1977427	-	18	0	2.8	N/A	N/A	N/A		
chr14	PF3D7_1448400	"ubiquitin-protein ligase, putative"	Mutable in CDS	0.853	-2.717	1	33.27		39	15.26	2556	1980323	1983111	-	37	1	2.4	"ER-associated ubiquitin-dependent protein catabolic process, regulation of cell cycle process"	ATPase activity	endoplasmic reticulum		
chr14	PF3D7_1448500	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	-1.164	7	610.39		154	13.86	11115	1984193	1995578	-	11	0	3.91	N/A	N/A	nucleus		
chr14	PF3D7_1448600	"SNARE protein, putative"	Non - Mutable in CDS	0.145	-2.594	0	0.98		10	13.12	762	1997546	1998307	-	18	0	3.5	"intracellular protein transport, regulation of vesicle fusion, vesicle-mediated transport"	SNAP receptor activity	SNARE complex		
chr14	PF3D7_1448700	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.125	-3.121	0	4.49		17	16.97	1002	1999652	2000653	+	18	0	2.1	N/A	N/A	N/A		
chr14	PF3D7_1448800	Appr-1-p processing domain protein	Non - Mutable in CDS	0.241	-3.2	0	12.54		18	21.98	819	2001087	2002110	-	18	0	2.2	N/A	N/A	N/A		
chr14	PF3D7_1448900	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.144	-2.865	0	0.75	tentative	3	13.16	228	2002925	2003377	-	14	0	5	N/A	N/A	N/A		
chr14	PF3D7_1449000	"gamete egress and sporozoite traversal protein, putative"	Mutable in CDS	0.998	-1.4	1	7.92		8	10.71	747	2004410	2005460	-	18	0	0	exit from host cell	N/A	"endoplasmic reticulum, microneme, osmiophilic body"		
chr14	PF3D7_1449100	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.141	-2.88	0	14.15		41	13.27	3090	2008435	2012498	+	18	0	4.56	N/A	N/A	N/A		
chr14	PF3D7_1449200	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.807	-3.535	0	4.52	tentative	8	31.01	258	2014674	2015059	+	1	0	4	N/A	N/A	N/A		
chr14	PF3D7_1449300.1	"transcription factor IIIb subunit, putative"	Mutable in CDS	0.982	-2.543	1	19.9		26	12.65	2055	2017315	2019564	+	18	0	4	transcription initiation from RNA polymerase III promoter	N/A	transcription factor TFIIIB complex		
chr14	PF3D7_1449400	"crossover junction endonuclease MUS81, putative"	Non - Mutable in CDS	0.13	-2.842	0	24.3		53	13.89	3816	2020213	2024141	-	18	0	6.5	N/A	N/A	apicoplast		
chr14	PF3D7_1449500	"transcription factor with AP2 domain(s), putative"	Non - Mutable in CDS	0.403	-2.664	0	8.86		21	9.78	2148	2031094	2033404	+	18	0	2.36	N/A	N/A	N/A		
